ablum,ablummid,end,id,name,singer,songmid,start,url
Never Be Like You,002d8gvz4CYOsN,2016_41,105648812,Never Be Like You,Flume,000vwnUr2UCnL8,2016_16,https://y.qq.com/n/yqq/song/000vwnUr2UCnL8.html
H.O.L.Y,002p3yAK1pXgie,2016_41,106139096,H.O.L.Y,Florida Georgia Line,001C0zjf2kTFf0,2016_20,https://y.qq.com/n/yqq/song/001C0zjf2kTFf0.html
Mama Said,004c87Ow1ZnIUn,2016_41,104860669,Mama Said,Lukas Graham,000xUvgf3RlKje,2016_31,https://y.qq.com/n/yqq/song/000xUvgf3RlKje.html
Thank You (Deluxe),002oar1k1Gg3Tb,2016_41,105648771,Me Too,Meghan Trainor,001gcmts2KhYd3,2016_22,https://y.qq.com/n/yqq/song/001gcmts2KhYd3.html
Suicide Squad: The Album,0033xkGb0pw5gE,2016_41,107354551,Purple Lamborghini,Skrillex,002qruEZ36eqeB,2016_32,https://y.qq.com/n/yqq/song/002qruEZ36eqeB.html
Hasta el Amanecer,004Ywq9Q4fnw42,2016_41,107106420,Hasta el Amanecer,Nicky Jam,0001en2o1N70KZ,2016_23,https://y.qq.com/n/yqq/song/0001en2o1N70KZ.html
You Look Like I Need A Drink,004SkZ2932pNyw,2016_41,104916004,You Look Like I Need A Drink,Justin Moore,003yMHza1dWjJ2,2016_34,https://y.qq.com/n/yqq/song/003yMHza1dWjJ2.html
No Shopping,001qlhWe1kZais,2016_41,107699881,No Shopping,French Montana,004EcuRw0oYXWE,2016_31,https://y.qq.com/n/yqq/song/004EcuRw0oYXWE.html
7 Years,004H27Bf09dJlp,2016_40,104860670,7 Years,Lukas Graham,000aYr2D03Tv12,2016_5,https://y.qq.com/n/yqq/song/000aYr2D03Tv12.html
Cancer,004GwYeN2TVc3Y,2016_40,108536213,Cancer,Twenty One Pilots,004fLzPO1LDtAb,2016_40,https://y.qq.com/n/yqq/song/004fLzPO1LDtAb.html
My PYT,000RxMi71SmSje,2016_40,106638059,My PYT (Explicit),Wale,001wvd7E1c6tet,2016_26,https://y.qq.com/n/yqq/song/001wvd7E1c6tet.html
Grass Ain't Greene,001LYAfk012Tz2,2016_40,106270188,Grass Ain't Greener,Chris Brown,001RKgds0VUwAm,2016_37,https://y.qq.com/n/yqq/song/001RKgds0VUwAm.html
FMA,003AGPlh35R9ZQ,2016_40,107538375,You Don't Own Me,Grace,002AyTTC3D6esN,2016_34,https://y.qq.com/n/yqq/song/002AyTTC3D6esN.html
Blurryface,002TEVez1YAqVW,2016_39,102428034,Stressed Out,Twenty One Pilots,000Hj1eU1hGQRe,2015_22,https://y.qq.com/n/yqq/song/000Hj1eU1hGQRe.html
Don't Mind,004XpH6p1vXQ5t,2016_39,106206471,Don't Mind,Kent Jones,000RzYYa1dbXWd,2016_20,https://y.qq.com/n/yqq/song/000RzYYa1dbXWd.html
Rise,004aYsEj1M1vkr,2016_39,107699033,Rise,Katy Perry,001SbqA32IFgdU,2016_31,https://y.qq.com/n/yqq/song/001SbqA32IFgdU.html
Make Me...,00020hwq4PEnuF,2016_39,107670806,Make Me...,Britney Spears,000v9M5u3qdikY,2016_31,https://y.qq.com/n/yqq/song/000v9M5u3qdikY.html
If I'm Honest,002OpuoK1zrpFn,2016_39,106806672,She's Got a Way With Words,Blake Shelton,002PWayW1L2AXG,2016_28,https://y.qq.com/n/yqq/song/002PWayW1L2AXG.html
Views,000Tos353Iqs6f,2016_39,106148080,Childs Play (Explicit),Drake,001r6AKB3r2vVX,2016_20,https://y.qq.com/n/yqq/song/001r6AKB3r2vVX.html
American Country Love Song,000XICfB2OLdsB,2016_39,105644559,American Country Love Song,Jake Owen,002KJRqz4eceyD,2016_12,https://y.qq.com/n/yqq/song/002KJRqz4eceyD.html
Lemonade,0024BrwF3SItMM,2016_38,106026877,Sorry,Beyoncé,0041EIGd3OJnLz,2016_19,https://y.qq.com/n/yqq/song/0041EIGd3OJnLz.html
From The Ground Up,002pMKWK4UCXiB,2016_38,105588731,From The Ground Up,Dan   Shay,003rgVTP19exKj,2016_23,https://y.qq.com/n/yqq/song/003rgVTP19exKj.html
Revival (Deluxe),000mCgz530edbw,2016_38,104877716,Kill Em With Kindness,Selena Gomez,003RNQhQ2jkTjC,2016_24,https://y.qq.com/n/yqq/song/003RNQhQ2jkTjC.html
The Life Of Pablo,002BIhbv2fb7Rv,2016_38,107471791,Famous,Kanye West,002XelTe31rBEE,2016_37,https://y.qq.com/n/yqq/song/002XelTe31rBEE.html
Swaay,003Rjfgn0DUIpy,2016_37,104864130,Cake by the Ocean,DNCE,002axt6v250lUr,2015_44,https://y.qq.com/n/yqq/song/002axt6v250lUr.html
Wicked,003EYIFo2kRB6m,2016_37,105915573,Wicked (Explicit),Future,003AW1Vo24zUl1,2016_18,https://y.qq.com/n/yqq/song/003AW1Vo24zUl1.html
Kiss The Sky,002ev3d81T8gJx,2016_37,105518989,Kiss The Sky,The Knocks,003WgPm50yjDa4,2016_37,https://y.qq.com/n/yqq/song/003WgPm50yjDa4.html
Mr. Misunderstood,003RIq6R2Qu3pL,2016_37,105542267,Record Year,Eric Church,004dAPWy3tV0VJ,2016_16,https://y.qq.com/n/yqq/song/004dAPWy3tV0VJ.html
DUELE EL CORAZON,003ycgkS4NCVUy,2016_37,105951884,DUELE EL CORAZON,Enrique Iglesias,002xOjHp3oht57,2016_30,https://y.qq.com/n/yqq/song/002xOjHp3oht57.html
